DateID,Date,Cumulatively_cases,Cumulatively_Local_case,Cumulatively_Import_case,New_cases,Local_cases,Imported_cases,Imported_associated_cases,Asymptomatic cases,New_cases_Total
1,21-Jan,2,2,0,2,2,0,0,0,2
2,22-Jan,5,5,0,3,3,0,0,0,3
3,23-Jan,7,7,0,2,2,0,0,0,2
4,24-Jan,14,14,0,7,7,0,0,0,7
5,25-Jan,14,14,0,0,0,0,0,0,0
6,26-Jan,39,39,0,25,25,0,0,0,25
7,27-Jan,51,51,0,12,12,0,0,0,12
8,28-Jan,63,63,0,12,12,0,0,0,12
9,29-Jan,79,79,0,16,16,0,0,0,16
10,30-Jan,106,106,0,27,27,0,0,0,27
11,31-Jan,137,137,0,31,31,0,0,0,31
12,1-Feb,175,175,0,38,38,0,0,0,38
13,2-Feb,189,189,0,14,14,0,0,0,14
14,3-Feb,216,216,0,27,27,0,0,0,27
15,4-Feb,237,237,0,21,21,0,0,0,21
16,5-Feb,255,255,0,18,18,0,0,0,18
17,6-Feb,284,284,0,29,29,0,0,0,29
18,7-Feb,298,298,0,14,14,0,0,0,14
19,8-Feb,304,304,0,6,6,0,0,0,6
20,9-Feb,313,313,0,9,9,0,0,0,9
21,10-Feb,317,317,0,4,4,0,0,0,4
22,11-Feb,323,323,0,6,6,0,0,0,6
23,12-Feb,327,327,0,4,4,0,0,0,4
24,13-Feb,328,328,0,1,1,0,0,0,1
25,14-Feb,335,335,0,7,7,0,0,0,7
26,15-Feb,338,338,0,3,3,0,0,0,3
27,16-Feb,339,339,0,1,1,0,0,0,1
28,17-Feb,339,339,0,0,0,0,0,0,0
29,18-Feb,339,339,0,0,0,0,0,0,0
30,19-Feb,339,339,0,0,0,0,0,0,0
31,20-Feb,339,339,0,0,0,0,0,0,0
32,21-Feb,343,343,0,4,4,0,0,0,4
33,22-Feb,345,345,0,2,2,0,0,0,2
34,23-Feb,345,345,0,0,0,0,0,0,0
35,24-Feb,346,346,0,1,1,0,0,0,1
36,25-Feb,346,346,0,0,0,0,0,0,0
37,26-Feb,346,346,0,0,0,0,0,0,0
38,27-Feb,346,346,0,0,0,0,0,0,0
39,28-Feb,346,346,0,0,0,0,0,0,0
40,29-Feb,346,346,0,0,0,0,0,0,0
41,1-Mar,346,346,0,0,0,0,0,0,0
42,2-Mar,346,346,0,0,0,0,0,0,0
43,3-Mar,346,346,0,0,0,0,0,0,0
44,4-Mar,346,346,0,0,0,0,0,0,0
45,5-Mar,347,347,0,1,1,0,0,0,1
46,6-Mar,347,347,0,0,0,0,0,0,0
47,7-Mar,347,347,0,0,0,0,0,0,0
48,8-Mar,347,347,0,0,0,0,0,0,0
49,9-Mar,347,347,0,0,0,0,0,0,0
50,10-Mar,347,347,0,0,0,0,0,0,0
51,11-Mar,347,347,0,0,0,0,0,0,0
52,12-Mar,347,347,0,0,0,0,0,0,0
53,13-Mar,347,347,0,0,0,0,0,0,0
54,14-Mar,347,347,0,0,0,0,0,0,0
55,15-Mar,348,347,1,1,0,1,0,0,1
56,16-Mar,351,347,4,3,0,3,0,0,3
57,17-Mar,354,347,7,3,0,3,0,0,3
58,18-Mar,359,347,12,5,0,5,0,0,5
59,19-Mar,364,347,17,5,0,5,0,0,5
60,20-Mar,366,347,19,2,0,2,0,0,2
61,21-Mar,369,347,21,3,0,2,1,0,3
62,22-Mar,372,347,24,3,0,3,0,0,3
63,23-Mar,384,347,36,12,0,12,0,0,12
64,24-Mar,388,347,40,4,0,4,0,0,4
65,25-Mar,397,347,49,9,0,9,0,0,9
66,26-Mar,406,347,58,9,0,9,0,0,9
67,27-Mar,414,347,66,8,0,8,0,0,8
68,28-Mar,420,347,72,6,0,6,0,0,6
69,29-Mar,427,347,79,7,0,7,0,0,7
70,30-Mar,431,347,83,4,0,4,0,0,4
71,31-Mar,440,347,92,9,0,9,0,0,9
72,1-Apr,446,347,98,6,0,6,0,0,6
73,2-Apr,451,347,102,5,0,4,1,0,5
74,3-Apr,451,347,102,0,0,0,0,0,0
75,4-Apr,456,347,104,5,0,2,3,0,5
76,5-Apr,463,347,111,7,0,7,0,0,7
77,6-Apr,463,347,111,0,0,0,0,0,0
78,7-Apr,464,347,111,0,0,0,1,0,0
79,8-Apr,467,347,112,3,0,1,2,0,3
80,9-Apr,471,347,114,4,0,2,2,0,4
81,10-Apr,475,347,115,4,0,1,3,0,4
82,11-Apr,479,347,119,4,0,4,0,0,4
83,12-Apr,482,348,119,3,1,0,2,0,3
84,13-Apr,488,349,123,6,1,4,1,0,6
85,14-Apr,490,349,123,2,0,0,2,0,2
86,15-Apr,494,349,123,4,0,0,4,0,4
87,16-Apr,499,349,124,5,0,1,4,0,5
88,17-Apr,499,349,124,0,0,0,0,10,10
89,18-Apr,499,349,124,0,0,0,0,9,9
90,19-Apr,500,349,125,1,0,1,0,15,16
